Years,Dates Redone,Month Number,Date,CHOLOLO,EAST_RESERVE,WEST_RESERVE,DOLDOL,Biomass.new
1995,Sep,9,1995-09-01,37.303062499999996,22.679775,28.943875,-,29.642237499999997
1995,Oct,10,1995-10-01,25.8753125,32.964749999999995,30.213625,-,29.6845625
1995,Nov,11,1995-11-01,89.25699999999999,59.96809999999999,44.3925,-,64.5392
1995,Dec,12,1995-12-01,82.48499999999999,54.29655,63.65037499999999,-,66.81064166666665
1996,Jan,1,1996-01-01,23.229999999999997,29.070849999999997,28.732250000000004,-,27.011033333333334
1996,Feb,2,1996-02-01,18.8916875,19.378425,19.06804166666667,-,19.112718055555558
1996,Mar,3,1996-03-01,,,,-,31.935000000000002
1996,Apr,4,1996-04-01,27.4625,41.175799999999995,24.00595833333333,-,30.881419444444436
1996,May,5,1996-05-01,18.362625,13.749199999999998,15.964208333333334,-,16.025344444444443
1996,Jun,6,1996-06-01,39.101875,40.117675,29.014416666666666,-,36.07798888888889
1996,Jul,7,1996-07-01,44.180875,32.329875,33.67016666666666,-,36.72697222222222
1996,Aug,8,1996-08-01,47.672687499999995,53.323074999999996,42.20570833333333,-,47.7338236111111
1996,Sep,9,1996-09-01,40.794875,33.345675,24.781916666666664,-,32.97415555555555
1996,Oct,10,1996-10-01,34.446124999999995,18.531924999999998,11.167375,-,21.38180833333333
1996,Nov,11,1996-11-01,,,,-,35.1461
1996,Dec,12,1996-12-01,34.65775,34.31914999999999,32.04770833333333,-,33.67486944444445
1997,Jan,1,1997-01-01,16.3521875,20.902125,17.092875000000003,-,18.115729166666668
1997,Feb,2,1997-02-01,21.11375,16.246375,19.138583333333333,-,18.832902777777775
1997,Mar,3,1997-03-01,13.495249999999999,19.039825,10.814666666666668,-,14.449913888888888
1997,Apr,4,1997-04-01,20.161437499999998,35.821687499999996,24.923,-,26.96870833333333
1997,May,5,1997-05-01,,,,-,76.28730000000002
1997,Jun,6,1997-06-01,63.5445625,71.90374999999999,48.836625,-,56.67
1997,Jul,7,1997-07-01,56.560937499999994,36.30842500000001,36.774,-,43.21445416666666
1997,Aug,8,1997-08-01,51.799375,86.33657499999998,53.13966666666666,-,63.758538888888886
1997,Sep,9,1997-09-01,42.487874999999995,29.959674999999997,23.51216666666667,-,31.98657222222222
